,name,lat,lng,formatted_address
0,Quayside Isle,1.2476808,103.8420723,"31 Ocean Way, Singapore 098375"
1,Sime Darby Centre,1.3366443,103.7835965,"896 Dunearn Rd, Singapore 589472"
2,PoMo,1.3001916999999998,103.84922,"1 Selegie Rd, Singapore 188306"
4,Tampines Hub,1.3531079,103.9403612,"1 Tampines Walk, Singapore 528523"
5,City Plaza,1.3147643999999998,103.893408,"810 Geylang Rd, Singapore 409286"
6,Sultan Plaza,1.3030927,103.8619342,"100 Jln Sultan, Singapore 199001"
7,N4 Neighbourhood Centre,1.3605239,103.9531662,"Tampines Street 43, Singapore 520477"
8,Second Avenue Junction,1.3298712,103.7996164,"Bukit Timah Rd, 733, Singapore 269748"
9,HillV2,1.3633540000000002,103.7643204,"4 Hillview Rise, Singapore 667979"
10,Bluestarmobiles.com,1.3318464,103.9463496,"430 Upper Changi Rd, #01-50 East Village, Singapore 487048"
11,Guillemard Village,1.3099872,103.8823103,"102 Guillemard Rd, Singapore 399719"
12,Snsexpress Shop,1.2462335,103.6146199,"90 Tuas S Blvd, Singapore 637052"
14,NEWest,1.3164853,103.7573965,"1 W Coast Dr, Newest, Singapore 128021"
15,HarbourFront Centre,1.2645768999999998,103.8203787,"1 Maritime Square, Singapore 099253"
16,Toa Payoh Mall,1.3327308,103.8492213,"185 Toa Payoh Central, Singapore 310185"
17,Midpoint Orchard,1.3015694,103.8386083,"220 Orchard Rd, Singapore 238852"
18,Waterloo Centre,1.2988808,103.8520151,"261 Waterloo St, Singapore 180261"
19,Tampines Central Shopping Street,1.3556772,103.9452237,"504 Tampines Central 1, Singapore 520504"
20,Orchard Shopping Center,1.3015019,103.8378442,"321 Orchard Rd, Singapore 238866"
22,The Poiz Centre,1.3312349,103.8681859,"51 Upper Serangoon Rd, #01 - 27 THE POIZ CENTRE, Singapore 347697"
23,UNO Premier Singapore,1.3028163,103.8400479,"51 Cuppage Rd, Singapore 229469"
24,Sentosa Station Ticketing,1.2636519,103.8230065,"113, 01-112/113 Telok Blangah Rd, Singapore 098585"
25,Sunshine Place,1.3780144,103.739185,"475 Choa Chu Kang Ave 3, Singapore 680475"
26,E!Hub @ Downtown East,1.3764492,103.9558526,"1 Pasir Ris Cl, Singapore 519599"
27,Jem Play Ground,1.3330285,103.7432048,"50 Jurong Gateway Rd, Singapore 608549"
28,ICB shopping Centre,1.3546245,103.877831,"6 Yio Chu Kang Rd, Singapore 545521"
29,Woodlands Neighbourhood 3 Centre,1.4297386,103.7742314,"1 Woodlands Street 31, Singapore 738581"
30,HAQ Warehouse,1.3065159,103.6576395,"28D Pioneer Sector 2, Singapore 628407"
31,Ming Arcade,1.3062561,103.8281069,"21 Cuscaden Rd, Singapore 249720"
33,Concorde Shopping Mall,1.3006018999999998,103.8420681,"100 Orchard Rd, Singapore 238840"
34,Bedok Town Centre,1.3245204,103.9315976,"Bedok North Street 1, Singapore"
35,Grandlink Square,1.3142114,103.8915989,"511 Guillemard Rd, Singapore 399849"
37,Cuppage Plaza,1.3013201,103.8404848,"Cuppage Rd, Singapore"
38,City Gate,1.3022965,103.8622714,"371 Beach Rd, #04-01, Singapore 199597"
39,Paul Hair Salon,1.2856221,103.8439868,"#02-26, Peoples Park Centre, 101 Upper Cross St, Singapore 058357"
40,Harbour Mall Siracha Laem Chabang. 3 mil fra Pattaya,1.3377481000000002,103.757058,"51 Bukit Batok Cres, Singapore 658077"
41,The Poiz Center,1.3310265,103.8674651,"51 Upper Serangoon Rd, Singapore 347697"
42,Bendemeer Mall,1.3184664,103.8630419,"26 Bendemeer Rd, Singapore 330026"
43,Compass 1,1.3920241000000002,103.8950148,"1 Sengkang Square, Singapore 545078"
44,City Gate Mall Singapore,1.3022508999999998,103.8625132,"371 Beach Rd, Singapore 199597"
45,Balestier Plaza,1.3256181,103.8503963,"400 Balestier Rd, Singapore 329802"
46,Crown Centre,1.3230556,103.8113889,"557 Bukit Timah Rd, Singapore 269694"
47,Hong Kah Point,1.3501653,103.7190623,"501 Jurong West Street 51, Singapore 640501"
48,Tan Boon Liat Building,1.2873156,103.8340344,"315 Outram Rd, Singapore 169074"
49,Aperia Mall,1.3098281,103.8639058,"8 - 12 Kallang Ave, Singapore 339509"
50,The Sail,1.281122,103.853009,"2 Marina Blvd, Singapore 018987"
51,Balmoral Plaza,1.3165038,103.8353812,"271 Bukit Timah Rd, Singapore 259708"
52,ONNIE LENS -Korea,1.2997726,103.8543943,"201 Victoria St, #02-69 to 70 Bugis+, Singapore 188067"
53,Waterway Point,1.406991,103.9014582,"81 Punggol Central, Singapore"
54,Shop @ West,1.3490916000000002,103.9333469,"Tampines Street 81, Singapore 520825"
55,Holland Piazza,1.310784,103.7952012,"3 Lor Liput, Singapore 277725"
56,Serene Centre,1.3225694,103.8137118,"10 Jln Serene, Singapore 258748"
57,Guoco Tower,1.2769938,103.8457765,"1 Wallich St, Singapore 078881"
58,Oriental Plaza,1.2818744,103.8420632,"291 New Bridge Rd, Singapore 088756"
59,Tai Seng Mall,1.3363858,103.8888439,"18 Tai Seng St, Singapore 534119"
60,Woodlands Complex Pte Ltd,1.4358383999999995,103.7861037,"1 Woodlands Square, Singapore 738099"
61,Tanjong Pagar Plaza,1.2748632,103.8426344,"1 Tanjong Pagar Plaza, Singapore 082001"
62,Centropod,1.3163809,103.9004293,Singapore 419715
63,Crescent Building,1.3237339,103.8522792,"320 Balestier Rd, Singapore 329924"
64,AS'FALL,1.300639,103.8592221,"28 Haji Ln, AS'FALL, Singapore 189221"
65,Broadway Plaza,1.3719492,103.8459995,"4190 Ang Mo Kio Ave 6, Singapore 569841"
66,Jalan Besar Plaza,1.3088354,103.8580231,"101 Kitchener Rd, Singapore 208511"
67,ARC 380,1.3135494,103.8603453,"380 Jln Besar, ARC 380, Singapore 209000"
68,Value Dollar,1.4278418,103.8363479,"922A Yishun Central 1, Singapore 768795"
69,Bukit Batok West Shopping Centre,1.3484015,103.7440808,"150 Bukit Batok Street 11, Singapore 650150"
70,Textile Centre,1.3036546999999998,103.8612408,"200 Jln Sultan, Singapore 199018"
71,The grandstand car mall,1.3367790000000002,103.7931845,"210 Turf Club Rd, Singapore 287995"
72,Woodlands Causeway Point,1.4369246,103.7865141,"30 Woodlands Ave 2, Singapore 738343"
73,Coronation Shopping Plaza,1.3239187,103.8099886,"587 Bukit Timah Rd, Singapore 269707"
75,Bedok Shopping Complex,1.3313326,103.9485799,"348 Bedok Rd, Singapore 469560"
76,Shaw House,1.3056450000000002,103.8315277,"350 Orchard Rd, Singapore 238868"
77,Bukit Gombak Neighbourhood Centre,1.3586192,103.7504624,"373 Bukit Batok Street 31, Singapore 650373"
78,Big Box Singapore,1.3318103,103.7447649,"1 Venture Avenue, Singapore 608521"
79,"71 Kallang Bahru, Singapore 330071",1.3209366000000002,103.8705671,"71 Kallang Bahru, Singapore 330071"
80,ION Orchard,1.3040194,103.8318259,"2 Orchard Turn, Singapore 238801"
81,Raffles Xchange,1.2841416,103.8513316,"Raffles Place, Singapore"
82,UB.One,1.3334818000000002,103.8917548,"81 UBI AVENUE 4 #03-31 UB.ONE, Singapore 408830"
83,OnTheList Singapore,1.2840778999999998,103.8513246,"SG Change Alley Mall, #02-20, 30 Raffles Place, Singapore 048622"
84,Vista Point,1.4313115,103.7938664,Singapore 730548
85,OUE LINK,1.2837249,103.8528699,"62 Collyer Quay, Singapore 049325"
86,Tudor Court,1.3051719,103.8242312,"131 Tanglin Rd, Singapore 247924"
87,Block 282,1.358044,103.8449084,"282 Bishan Street 22, #01-149, Singapore 570282"
88,East Village,1.3318464,103.9463496,"430 Upper Changi Rd, Singapore 487048"
89,270 Orchard Rd,1.3030462,103.836245,"270 Orchard Rd, Singapore 238857"
90,Grantral Mall,1.3142926,103.7651327,"Commonwealth Ave W, CityVibe, Singapore 129581"
91,Westway,1.2830324,103.7806554,"27 W Coast Hwy, Singapore 117867"
92,Royal Square @ Novena Sales & Rental Office,1.3202997,103.842999,"101 Irrawaddy Rd, Singapore 329565"
93,The Bencoolen,1.3016941,103.8532843,"180 Bencoolen St, Singapore 189646"
94,Scape Mall,1.3010208,103.8356597,"2 Orchard Link, Singapore 237978"
