,Unnamed: 0,id,name,listing_url,room_type,beds,baths,bath_type,bedroom,bed
0,0,71609,Villa in Singapore · ★4.44 · 2 bedrooms · 3 beds · 1 private bath,https://www.airbnb.com/rooms/71609,Private room,3.0,1.0,private,2.0,2.0
2,2,71903,Home in Singapore · ★4.41 · 1 bedroom · 2 beds · Shared half-bath,https://www.airbnb.com/rooms/71903,Private room,2.0,0.5,private,1.0,1.0
5,5,289234,Home in Singapore · ★4.83 · 3 bedrooms · 5 beds · 3 baths,https://www.airbnb.com/rooms/289234,Private room,5.0,3.0,shared,3.0,3.0
6,6,294281,Rental unit in Singapore · ★4.43 · 2 bedrooms · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/294281,Private room,1.0,1.0,private,2.0,2.0
10,10,369145,Townhouse in Singapore · ★4.39 · 2 bedrooms · 1 bed · 1 shared bath,https://www.airbnb.com/rooms/369145,Private room,1.0,1.0,private,2.0,2.0
27,27,833289,Condo in Singapore · 1 bedroom · 2 beds · 1 private bath,https://www.airbnb.com/rooms/833289,Private room,2.0,1.0,private,1.0,1.0
35,35,1160252,Home in Singapore · ★4.63 · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/1160252,Private room,2.0,1.0,private,1.0,1.0
40,40,1562453,Home in Singapore · 1 bedroom · 4 beds · 1 bath,https://www.airbnb.com/rooms/1562453,Private room,4.0,1.0,private,1.0,1.0
41,41,1581224,Townhouse in Singapore · 4 bedrooms · 12 beds · 4 baths,https://www.airbnb.com/rooms/1581224,Entire home/apt,12.0,4.0,private,4.0,4.0
44,44,1643945,Home in Singapore · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/1643945,Private room,2.0,1.0,private,1.0,1.0
46,46,1654840,Bed and breakfast in Singapore · 1 bedroom · 3 beds · 8 baths,https://www.airbnb.com/rooms/1654840,Private room,3.0,8.0,shared,1.0,1.0
48,48,1678754,Bed and breakfast in Singapore · 1 bedroom · 6 beds · 0 baths,https://www.airbnb.com/rooms/1678754,Hotel room,6.0,0.0,shared,1.0,1.0
49,49,1678755,Bed and breakfast in Singapore · ★4.67 · 2 bedrooms · 1 bed · 0 baths,https://www.airbnb.com/rooms/1678755,Hotel room,1.0,0.0,shared,2.0,2.0
55,55,2030663,Rental unit in Singapore · 1 bedroom · 2 beds · 2 baths,https://www.airbnb.com/rooms/2030663,Private room,2.0,2.0,shared,1.0,1.0
56,56,2129215,Townhouse in Singapore · ★4.93 · 1 bedroom · 3 beds · 1 bath,https://www.airbnb.com/rooms/2129215,Entire home/apt,3.0,1.0,private,1.0,1.0
71,71,3349976,Rental unit in Singapore · 1 bedroom · 2 beds · Half-bath,https://www.airbnb.com/rooms/3349976,Private room,2.0,0.5,private,1.0,1.0
73,73,3717196,Hostel in Singapore · ★3.94 · 1 bedroom · 12 beds · 4 baths,https://www.airbnb.com/rooms/3717196,Hotel room,12.0,4.0,shared,1.0,1.0
82,82,4054698,Hostel in Singapore · ★4.40 · 1 bedroom · 12 beds · 4 baths,https://www.airbnb.com/rooms/4054698,Hotel room,12.0,4.0,shared,1.0,1.0
83,83,4069756,Hostel in Singapore · ★4.35 · 1 bedroom · 12 beds · 4 baths,https://www.airbnb.com/rooms/4069756,Hotel room,12.0,4.0,shared,1.0,1.0
84,84,4271250,Rental unit in Singapore · ★4.94 · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/4271250,Entire home/apt,2.0,1.0,private,1.0,1.0
96,96,4722005,Rental unit in Singapore · 1 bedroom · 2 beds · 1 bath,https://www.airbnb.com/rooms/4722005,Private room,2.0,1.0,private,1.0,1.0
101,101,4899063,Home in Singapore · 1 bedroom · 3 beds · 2 shared baths,https://www.airbnb.com/rooms/4899063,Shared room,3.0,2.0,shared,1.0,1.0
