,Unnamed: 0,comments,estimated_rating_flair,estimated_rating_textblob,estimated_rating_asent,pos_value_asent,neg_value_asent,probability,estimated_sentiment_flair,estimated_sentiment_textblob,compound_value_asent,neu_value_asent,estimated_subjectivity_textblob
31,31,I'm lost my way to find the hostel ,0.8939939543192932,2.5,2.934739997288623,0.0,0.2233009708737863,0.5646264553070068,POSITIVE,0.0,-0.318210996771242,0.7766990291262136,0.0
33,33,"Clean and quiet place. The rooms are too crowded with people, and the top beds are not easy to climb on. It provided a fast solution for cheap accommodation in the city.  ",3.366572989513613,3.020833333333333,3.060375776851481,0.1651997606816008,0.0283646137885504,0.6038856506347656,NEGATIVE,0.2083333333333333,0.1413867975933893,0.5564356255298487,0.6111111111111112
45,45,The location is very close to EXPO and Bus stops and MRT Stations. It is very convenient if the purpose is being close to EXPO.,4.164497736493487,3.0,2.929489003289509,0.0,0.0547945205479452,0.9492894411087036,POSITIVE,0.2,-0.0765465544619743,0.4452054794520548,0.3
49,49,It has everything you need.,4.958298936256465,2.5,2.8108825044289905,0.0,0.0,0.9970937967300416,POSITIVE,0.0,0.0,0.0,0.0
57,57,"very convenient place to stay, close to everything.",4.903087744180598,3.0,2.8108825044289905,0.0,0.0,0.9998931884765624,POSITIVE,0.2,0.0,0.0,0.3
58,58,My preferred choice whenever I am in Singapore!,4.912394690444821,2.5,2.8108825044289905,0.0,0.0,0.999419093132019,POSITIVE,0.0,0.0,0.0,0.0
70,70,"The room is really really small and no any toiletries/towel amenities provided. No tv or any decoration. I have to pay extra charges just to have these basic needs for my stay. Though the hostel is just 10min away from the Mrt so it is convenient. You may also leave your things for storage USD3/pc after check out.
So far, I think there is better hostel than this.",0.6903853604088257,2.6750000000000003,2.989855637366065,0.0324384787472035,0.1223578821839733,0.9999858140945436,NEGATIVE,0.0699999999999999,-0.1036291486637299,0.6785369724021565,0.425
96,96,"Very well located Hotel and well kept.
All informations about how the hotel works and information about the main point of interests in the city are displayed to everyone.

The room is a little small but enough for a short stay.",4.796515320649869,2.470486111111111,3.0797040884907463,0.163921568627451,0.0,0.9846129417419434,POSITIVE,-0.0118055555555555,0.2479715268578769,0.5027450980392157,0.3888888888888888
98,98,What you see is what you get. Professional service. Basic needa met.,4.9340333949278925,2.625,2.8108825044289905,0.0,0.0,0.9983202815055848,POSITIVE,0.05,0.0,0.0,0.1125
110,110,"I chose the place as it is near to Singapore Expo, the destination I was heading to with my mother. It was few bus stops away. A fair price for a fair room with a shared bathroom. The tenant next door smoked in the bathroom, causing smell when I arrived. I messaged Belinda and she immediately warned them. However the next day they smoked again in the bathroom. Shame on the tenant. The housemaid was very friendly, her name is Dewi, assisted us in many areas, called cabs for us. Belinda also dropped us off at the airport at the end of the trip, very kind of her. Overall a pleasant trip.",0.7192414636134786,3.363825757575757,3.0261343559004894,0.1194904377438945,0.085506682617854,0.989749014377594,NEGATIVE,0.345530303030303,0.1438203599849816,0.4950028796382513,0.4924242424242424
114,114,"Pros
Location: 2 bus stops from the airport
Clean, average size, en suite bathroom (you feel like in a hotel)
Sufficient Wi fi (varies from 5 to 25 Mbit/s)
Cold air conditioning
Tea and coffee facilities in the room
Good ""quality to price"" ratio for Singapore

Cons:
Location: not central. 10min by bus +30min by train to the city center
Like hotel: you have to fill a check-in form upon arrival. No interaction with the host (only with the cleaning lady who also lives in the house). The fridge is in your room so it shows you are not supposed to use kitchen facilities.
Air con blows cold air right through one side of the bed so one might catch flue during the night.",2.917576555553469,2.4728835978835977,3.0416456844236537,0.039031239031239,0.0259005823362259,0.6396711468696594,NEGATIVE,-0.0108465608465608,0.1646272228033961,0.5350681786325351,0.6206349206349207
132,132,"The room is very cramped, and restrictions on A/C means it also gets very hot. It's right next to a mosque, so expect to be awakened at 6 AM every morning, and no curtains means you won't get much sleep anyway. The first room I had was full of large ants, so they moved me to another room with fewer and smaller ants. I'm impressed with their service, though, as I complained about the ants via message at 2 AM, and they replied immediately and gave me another room just 10 minutes later. The Airbnb price is also about 20% more expensive than on their webpage (my bad for not checking), but with their strict cancellation policy I had no option but to stay.",0.6950753850836223,2.804166666666667,2.9479488323501206,0.0159793814432989,0.0479255830768709,0.9982932209968568,NEGATIVE,0.1216666666666667,-0.1248490195747485,0.5360950354798301,0.460952380952381
146,146,I'll definitely stay in Tommy's place for my next trip,4.907417245226901,2.5,3.2151711137644905,0.1970802919708029,0.0,0.999672532081604,POSITIVE,0.0,0.401923825269382,0.8029197080291971,0.25
153,153,"Prepare to bring your own private stuff such as towel, shower gel, shampoo, etc",4.721369843110096,3.0,2.8108825044289905,0.0,0.0,0.9806652665138244,POSITIVE,0.1999999999999999,0.0,0.0,0.625
160,160,It was fine. Perfect for someone wanting to be close yo airport but for exploring the city - to far away. Almost 1 hour to get to city center is tireing and a bit a waste of time.,0.720492128329909,3.1083333333333334,2.96783104567317,0.125,0.0471380471380471,0.9893146753311156,NEGATIVE,0.2433333333333333,-0.0730583067473642,0.4945286195286195,0.52
163,163,"It was unfortunate that Belinda was not arround as she had to be away from S'pore during our stay.
The place is just like anybody's house. had it been very clean it would have appeared as a guesthouse.
We have no complain.
Maids, Jullie & Deuii, both are very coperative.
Jullie took all the trouble to show us the way to the nearest MRT station, Semei.
We should have stayed with her only, instead a few days in another hotel prior to this stay . Only disadvantage is the distance from the main city culture, but MRT made up all.
Belinda can think of providing toilet soaps etc and a bare cup of tea in the morning to add to the homely ambience.",1.359066692542588,2.4909090909090907,2.94824588693285,0.0463353107456587,0.1014637283807168,0.6693400740623474,POSITIVE,-0.0036363636363636,-0.0933631642121994,0.518867627540291,0.4493939393939393
165,165,Its is clean and nice room and the house is amazng. But the room is a bit small to fit 4 adults.,1.677792084200489,3.197916666666667,3.216807123020673,0.2460468058191018,0.0,0.7779898047447205,NEGATIVE,0.2791666666666667,0.4302978374060746,0.7539531941808981,0.625
170,170,The location is easy to find with Google Map. The room is comfortable. The breakfast is delicious and hearty. The host and the maid are friendly and helpful. The hostess is a taxi driver so it is really convenient to book her taxi for pick up and drop off at the airport. However the Wifi signal is weak inside the room and is only accessible in public area.,3.328803286220276,3.1689814814814814,3.1493915934744017,0.2509611668421075,0.0389831539256826,0.6067062616348267,NEGATIVE,0.2675925925925926,0.254616735253497,0.7100556792322097,0.6000000000000001
179,179,"near to mrt,  many food around that area.",4.997575966201937,3.25,2.8108825044289905,0.0,0.0,0.9948787689208984,POSITIVE,0.3,0.0,0.0,0.45
191,191,"It's ok for Singapore, the room is really small and in an alcove surrounding by 3 other rooms so no intimacy and you can ear pretty much everything.. the staff is very nice and helpful I recommend this place for low budget if you are only looking for a bed to sleep. ",0.7019073600918523,2.9234375000000004,3.3156411753836283,0.2077865829412399,0.0678938709262568,0.9958479404449464,NEGATIVE,0.169375,0.8577993724575871,0.7243195461325033,0.596875
196,196,Stood one night there and therefore it was ok. If you are going for a longer stay to Singapore you should be prepared for not too much space for your stuff ;-),0.6966740879940408,3.2916666666666665,3.208196742726445,0.1765275387263339,0.0,0.997718870639801,NEGATIVE,0.3166666666666666,0.3681958724801812,0.8234724612736661,0.5666666666666667
198,198,"Only the friendly Check-in man was very good, helpful and good Insider tips for the City. Room was small, smelly and only a Ventilator. Bathroom was okay.",0.6959001597720177,3.2982142857142858,3.101002353560852,0.2745048507294668,0.0,0.997996747493744,NEGATIVE,0.3192857142857143,0.377881130030562,0.3921618159371998,0.6828571428571429
210,210,It is a small space with only a bed. The rest is in common space. There are many small bugs and ants. It is ok if you consider the cheap price.,0.6911444219988273,2.714285714285714,2.911018394074368,0.0491071428571428,0.0,0.9997110962867736,NEGATIVE,0.0857142857142857,0.0739895435500485,0.2008928571428571,0.5714285714285714
211,211,Noise and no sound proof are the main issue here. I was awaken by the sound of the late check in guest as the room doesn’t have any sound proof. Small rooms. Private room but not private.,0.69051310236602,2.567708333333333,2.851172517918789,0.0,0.0450819672131147,0.9999395608901978,NEGATIVE,0.0270833333333333,-0.0739895435500485,0.2049180327868852,0.4104166666666666
217,217,"It's terrible.The house near the airport ,but you can go there only by taxi.It is too old and untidy, We didn't sleep well all night because it's too dirty，even have much hair on the bed.I think the owener didn't do a good job.",0.6903534286121531,3.05,3.003873095085116,0.0755742441145341,0.1270491803278688,0.99999737739563,NEGATIVE,0.22,0.0592472126200171,0.547376575557597,0.48
222,222,"It is a room in a house, which share a bath room with neighbour room. Quite close to airport, and 10-15 min walk to subway station.",4.956540208170451,2.5,3.013969315503293,0.0604395604395604,0.0,0.9971824884414672,POSITIVE,0.0,0.147979087100097,0.4395604395604395,0.0
233,233,It was good for a short stay. Convenient location to the airport,1.8861085747144748,3.375,3.02177044213717,0.1464646464646464,0.0,0.7487305402755737,NEGATIVE,0.35,0.2202167853800842,0.3535353535353535,0.45
235,235,"Belinda’s place is big and stylish, I will come here again.",4.990247379657822,3.125,2.8108825044289905,0.0,0.0,0.9954881072044371,POSITIVE,0.25,0.0,0.0,0.55
244,244,Fantastic place hate to write about it as i am afraid next time i am here it would be fully booked,4.985755649814671,1.875,3.039321756112475,0.1368821292775665,0.1406844106463878,0.995713233947754,POSITIVE,-0.25,-0.0258112866459833,0.7224334600760456,0.675
246,246,"I booked this place in a very short notice because my prior arrangements were canceled by another host. And I did not take the time to read details of the room, I only went by pictures. Even though I had yo share bathroom and shower, it was clean and it was not occupied at every time so I could use it at my convenience. I did have an issue with the dormitory because one of my neighbors left the light on until 3am a couple of nights. It must be said that if the other rooms have lights on or make noise, you will be affected.",0.690688292132411,2.729166666666667,2.9616059270234056,0.0297872340425531,0.0148148148148148,0.9998761415481568,NEGATIVE,0.0916666666666666,0.0892560101498315,0.355397951142632,0.4521428571428571
260,260,"Place was small but had most things one needs for a short stay. 
I would recommend contacting the host to get one of the better rooms within the unit as the one I stayed in was smaller but had a huge window to compensate; just wish I knew what I was trading for.
Note that this is a HDB flat and not a private condo.",1.6479360542169827,2.8515625,2.972049423575821,0.0399706637330399,0.0,0.7824785709381104,NEGATIVE,0.140625,0.178200670158984,0.2933626696002933,0.45
261,261,"The airbnb is in a great location (nearby to food and mrt station) and Joyce (the host) is quick to respond to messages. Joyce and her family to invited me over to her house for christmas which was really thoughtful of her.  However, whilst the airbnb is stated to have a ""kitchen"", it was quite disappointing to find there was only one portable stovetop and microwave which made it really difficult to cook meals. But overall, it was a nice place to stay :)",2.32201556697335,2.9259259259259256,3.146538591917888,0.1415752682086965,0.0371636002459442,0.6967505812644958,NEGATIVE,0.1703703703703703,0.1906249741770982,0.8212611315453592,0.7166666666666667
272,272,"Private room was nice, staff was very helpful but a little dirty in placesw",1.9500778960209504,2.50625,2.793353500559564,0.1019986044657097,0.2999152711323763,0.7596078515052795,POSITIVE,0.0025,-0.608652511564623,0.5980861244019139,0.595
290,290,"Location is good but do not expect a comfortable and standard size room because the room is only almost the size of your single bed. Door can not be locked outside and it is only a plastic accordion door so if you leave your things well, pray that it wont be lost.
Also, when i get there it took sometime for someone to receive me. I even called the host 2 or 3 times to let him know ive been waiting there for sometime.",0.6963089297239444,2.86734693877551,2.9160696457714232,0.0321979176728516,0.0586504749006383,0.997849941253662,NEGATIVE,0.1469387755102041,-0.0970619160281548,0.40915160742651,0.5234693877551021
292,292,"Check in and check out ran smoothly, the place is about 10 mins walk from bendemeer station.",4.714792681160886,3.5,2.8108825044289905,0.0,0.0,0.9803167581558228,POSITIVE,0.4,0.0,0.0,0.5
295,295,"If you need a place to sleep, just go to Tommy's",0.7157717203986963,2.5,2.8108825044289905,0.0,0.0,0.9909579753875732,NEGATIVE,0.0,0.0,0.0,0.0
296,296,strategic location and comfy place. ,4.910940267740969,2.5,2.8108825044289905,0.0,0.0,0.99949312210083,POSITIVE,0.0,0.0,0.0,0.0
299,299,Room is private and comfortable. Except the AC in the whole premise is not strong enough when the temperature in Singapore is like 34 degrees Celcius.,3.477776638903702,2.6916666666666664,3.1362097406241296,0.2483944188785934,0.0536068565986826,0.5957611799240112,NEGATIVE,0.0766666666666666,0.2292608379296732,0.6979987245227239,0.5616666666666668
307,307,Enough for short trip!,4.9645765800967405,2.5,2.8108825044289905,0.0,0.0,0.9967774748802184,POSITIVE,0.0,0.0,0.0,0.4
309,309,Pictures as advertised,4.933127676839275,2.5,2.8108825044289905,0.0,0.0,0.9983661770820618,POSITIVE,0.0,0.0,0.0,0.0
313,313,It was ok  as on the photos.  Clean and  welcoming. Thanks,3.0684313087826443,3.3888888888888893,3.179754944580679,0.5996732026143791,0.0,0.6270678639411926,NEGATIVE,0.3555555555555555,0.4724047573284576,0.400326797385621,0.4666666666666667
314,314,I won't stay there again.,0.6903764720284233,2.5,2.8108825044289905,0.0,0.0,0.9999890327453612,NEGATIVE,0.0,0.0,0.0,0.0
317,317,The place is very convenient,4.80864570292372,3.0,2.8108825044289905,0.0,0.0,0.9852443933486938,POSITIVE,0.2,0.0,0.0,0.3
337,337,"I would recommend the room for a stay in Singapore of an intermediate duration if you're not sensitive when it comes to cleanness
A definite plus is the location in an authentic HDB with several means of transportation available. Redhill MRT station is a 15-minute-walk away. However, you'll usually be much faster if you take the bus at Opp Pacific Tech Centre which is just a five-minute-walk away or, if you're lucky, the line 63 which departs right in front of the house works for you.
The main issue is the low hygienic standard. Joyce had announced that the commonly used rooms (esp. bathrooms and kitchen) would be cleaned weekly. However, the toilets were clearly not cleaned once during my entire stay of over a month. The mix of pee stains and pubic hair was downright disgusting.
In my opinion, this can only be excused by the relatively low price compared to other airbnbs. However, if you are planning a stay of several months you'll easily find a clean,  modern condominium with a pool and a gym for a lower rate in the respective facebook-groups etc.",0.6904327670370229,2.6479037267080745,3.0375013187876307,0.0469415202187937,0.0573606854455889,0.999968647956848,NEGATIVE,0.0591614906832298,0.0998365277030175,0.5956977943356174,0.4725672877846791
383,383,Thank you to provide check in after office hour.,3.2112363100343897,2.5,3.200758939365245,0.217391304347826,0.0,0.8843045234680176,POSITIVE,0.0,0.3611575592573076,0.782608695652174,0.0
394,394,"Not as good as expected, sound proof too bad",0.692419028622666,2.6875,2.7166357708054205,0.0,0.4247087588091471,0.9992504715919496,NEGATIVE,0.075,-0.710101587103552,0.575291241190853,0.5166666666666666
395,395,"We were disappointed with the accomodation. The bed linen and towels were old and tired with very lumpy, uncomfortable pillows. Air conditioning worked well.  The bathroom consisted of a small rectangular room with nowhere to place clothes while showering. The facilities were below par. The common areas ie kitchen/sitting room, were very untidy. Location is good. Close to MRT and buses. Good free Wifi.",0.6905865317641089,2.5227272727272725,2.94349157844504,0.1768761421984878,0.0702544395982365,0.999912977218628,NEGATIVE,0.009090909090909,0.0305799321978794,0.3084249737588312,0.5590909090909091
399,399,The place is maybe better that a dormitory hostel because you can have your own private space. However I found that it was dirty and smelly and very difficult to bear with this for more than 1 night. The locker in the room was very uncomfortable for someone carrying a luggage but had to use it because the room can't be closed from outside. Nevertheless Faizal was very helpful and kind and the neighborhood is very nice. I would say staff and location are the tops of this accommodation.,0.690391615263633,2.7458333333333336,3.1311287255394262,0.1667658777834632,0.0577645212578903,0.999983549118042,NEGATIVE,0.0983333333333333,0.1788074233795674,0.7754696009586464,0.6270833333333333
412,412,I’m will be back,4.991692157101626,2.5,2.8108825044289905,0.0,0.0,0.9945842623710632,POSITIVE,0.0,0.0,0.0,0.0
433,433,Air conditioning was turned only after 6pm.,0.7060634814310998,2.5,2.8108825044289905,0.0,0.0,0.994372010231018,NEGATIVE,0.0,0.0,0.0,1.0
450,450,"A great place to stay, small but tidy. Close to CBD area.",4.9482338855182615,3.458333333333333,2.8108825044289905,0.0,0.0,0.992398202419281,POSITIVE,0.3833333333333333,0.0,0.0,0.65
453,453,"Walkable distance to 2 MRT stations. Great resraurants and bars nearby. Convenient store nearby and suprmarket at walkable distance.
Wifi is ok. Filtered water available daily.
Shared bathroom and washroon with fair cleanliness. Poor air ventiltion of the room with a scent of mustiness. 
Poor soundproofing. I stayed in the lower floor and I could hear the person upstairs walking.
Overall a nice place to stay in if you are on a budget. At least you have a room to yourself.",2.58694424422614,2.975,2.983320946998714,0.1248876571457216,0.0785324860432406,0.6697401404380798,NEGATIVE,0.19,0.0604478875519664,0.4329434931746741,0.515
458,458,"Betty is the super host. I arrived really late at night (after midnight) and she was waiting for me and giving the direction to the cab driver. The place is really closed to the Newton MRT. I really like the area where her home is as it is really green - you don't feel that you are actually in town while in reality it is so close to Orchard!

",4.913705444980773,2.4722222222222223,3.075798745941823,0.1224597221164475,0.0,0.9993523955345154,POSITIVE,-0.0111111111111111,0.2826686536918256,0.4775402778835524,0.3277777777777778
461,461,"location is ok near to newton mrt about 4 blocks but you have to go up walkway/overpass so its not ideal for those with luggages to use MRT, better get a cab. no escalator on walkway. There's a hawker center on the way to MRT. no supermarket or convenience store nearby. 
My friend and I only stayed 2 nights not convenient for those used to staying in orchard area. :) ",0.6938259946026097,2.875,3.0274738235625485,0.080094057127241,0.1427319985422643,0.9987429976463318,NEGATIVE,0.1499999999999999,0.1126803129791247,0.5771739443304946,0.6428571428571429
464,464,"Elizabeth is a very warm person, but the place is very very basic with shared bathrooms. you will get a clean room only for the first time then it wont be cleaned for the next days till you are there , even the towels are not changed. and though its written flexible time to check in & check out but there are no extra keys to enter the house ,my flight was at 10 p.m . i had to take my luggage with me at 12 in the afternoon because other guest was coming & there is no extra key for me to take if i want to come at around 7 pm to take the luggage . apart from this Elizabeth is very warm ,friendly & helpful person . 










",1.3855500918104997,3.0055555555555555,3.1336341591874213,0.1484231607849351,0.0170174172173172,0.8258351683616638,NEGATIVE,0.2022222222222222,0.280698518508873,0.667892755331081,0.4859027777777778
471,471,"The place is quite central and convenient, Elizabeth is very helpful too. The only thing I think it can be improved is the light in the room, the light doesn't work very well since its kinda old and the  power cord is not well connected. But all in all, its a good choice if you need a budget place to stay in Singapore. ",3.629350357974266,3.125,3.224315972900813,0.1394180019128152,0.0146383583089226,0.5850960612297058,NEGATIVE,0.25,0.4275118755279231,0.8459436397782621,0.5062500000000001
485,485,"We never saw any host. Elisabeth hasn't been there for months and will not be there for months to come (according to info received by phone, after arrival). We spoke to a person on the phone from the airport who told us the key would be under the mat, together with keys for other guests. The place was quite filthy: dirty shoes in the sink, empty wine bottles in the room; holes in the sheets, and everything covered with grime. We decided we certainly couldn't cook there. It appears that this is simply a boarding house - 5 people stayed while we were there - 2 checked out early and none of us ever saw a host.
The spirit of airbnb - to stay with local families who provide local knowledge certainly was absent.
The location is about 15 min walk from the MRT (subway), but one has to cross busy highways. Once on the MRT everything is easily reachable.
Of our many airbnb experiences, this was the only serious disappointment. I would not stay here again and can't recommend it to anyone.",0.6903606707458148,2.361607142857143,2.965836416348715,0.0742855982116034,0.0448795845739953,0.9999947547912598,NEGATIVE,-0.0553571428571428,0.0186389114274297,0.4262893626689467,0.5097222222222221
491,491,"The staff was very kind and helpful, unfortunately I wasn't feeling very well and I had the air con pointing at me all night and there was no way to turn it or switch it off. But You are right in the cetre of Chinatown so it doesn't get boring.",0.6924941466272407,2.382857142857143,3.1516141745554367,0.1103602716700829,0.0972182397175713,0.9992233514785768,NEGATIVE,-0.0468571428571428,0.2785923395921642,0.7924214886123458,0.7671428571428571
504,504,"Besides having an unpleasant experience of being wrongly accused of short paying to the reception for extending our stay (only after the payment transaction was over), everything else was ok.",2.8761579626210843,2.175,2.9167540761447617,0.0571428571428571,0.1376623376623376,0.8567543625831604,POSITIVE,-0.1299999999999999,-0.4766576055745744,0.8051948051948052,0.73
