comments,pos_value_asent,neg_value_asent,probability,estimated_sentiment_flair,estimated_sentiment_textblob,compound_value_asent,neu_value_asent,estimated_subjectivity_textblob
AC blowing on bed,0,0,0.632590652,NEGATIVE,0,0,0,0
Thank you Martin for being a great host. Apperciate the fast reply and fast confirmation. Hope to staycay at your place again. May u sucess in future. ????,0.355644682,0,0.501427948,NEGATIVE,0.3,0.391350668,0.244355318,0.51875
"No aircon in dining room. Lily Room beautiful. Watched a kingfisher depleting small fish stock from lily pond for over an hour. This could explain why Eddie's ""frog symphony"" was a solo act the night I was there. Bus  24 to airport cheap and easy $1.90 Singapore dollars.",0.151969653,0.061111111,0.725291371,NEGATIVE,0.358333333,0.148769711,0.386919236,0.733333333
Super okay. Very accomodating! ,0.426470588,0,0.862095058,NEGATIVE,0.361111111,0.350174646,0.073529412,0.488888889
"It's near to Singapore Expo. No shop, convenient store and restaurant around the area. It's residential and quiet area though. Only one bathroom. However, lucky to have two toilets for all six rooms guess.",0.037837838,0.036065574,0.873728335,NEGATIVE,0.108333333,0.025101088,0.326096588,0.641666667
"very hospitable, very friendly and helpful staff....but i think their management is in transition as the night time manager didn't know how to approve my reservation alteration from Airbnb as the room turned out to be very close to traffic and people walking by the din made it near impossible for a light sleeper like me....",0.088803089,0,0.874487042,NEGATIVE,0.120138889,0.695608344,0.911196911,0.558333333
"Host is very friendly, location is walking distance to haji. About 15 minutes walk to Bugis Junction.",0.120506451,0,0.856277585,NEGATIVE,0.4875,0.270626464,0.379493549,0.65
Decent place for a short stay. Staff was friendly and I enjoyed my stay for one night.,0.196969697,0,0.693105161,NEGATIVE,0.260416667,0.378968364,0.303030303,0.541666667
"I personally didn't hear any street noise, but my unit was facing the back. Weekly cleaning is provided but not for the towels, so you need to wash those yourself if you have a long stay. The host Jarwin was responsive and friendly!",0.166555481,0,0.679144025,NEGATIVE,0.1046875,0.239241628,0.166777852,0.3
Value for money place to stay over,0.285714286,0,0.71932584,NEGATIVE,0,0.339950052,0.714285714,0
You can expectto have a good stay here.,0.266055046,0,0.748947263,NEGATIVE,0.7,0.440433571,0.733944954,0.6
"I thought the room will be bigger
With the kitchen
I would prefer if they would heads up to me that the room level they giving me is not a lift landing cause i had big bags with me had to carry one flight stairs 
Thanks to kenneth and irean with my bags.
Overall had a pleaseant stay",0.043946932,0,0.617581844,NEGATIVE,0.05,0.324278323,0.456053068,0.2
