id,name,details,neighbourhood_cleansed,neighbourhood_group_cleansed,picture_url,latitude,longitude,room_type,price,minimum_months,maximum_months,distance_to_mrt,closest_mrt_name,closest_mrt_stop_id,closest_mall_distance,closest_mall_name,accommodates,closest_mall_address,conditioning,BBQ,gym,pool,dryer,Wifi,kitchen,Backyard,TV,refrigerator,Microwave,Oven,Pets,stove,fan
71609,Villa in Tampines,2 bedrooms · 3 beds · 1 private bath,Tampines,East Region,https://a0.muscache.com/pictures/24453191/35803acb_original.jpg,1.34537,103.95887,Private room,4170,3,37,0.4967921344269641,UPPER CHANGI MRT STATION,DT34,0.7120341590176739,Eastpoint Mall,3,"3 Simei Street 6, Singapore",1,1,0,0,1,1,1,1,1,1,0,0,0,0,0
71896,Home in Tampines,1 bedroom · 1 bed · Shared half-bath,Tampines,East Region,https://a0.muscache.com/pictures/2440674/ac4f4442_original.jpg,1.34754,103.95958,Private room,2100,3,37,0.6786192176941457,UPPER CHANGI MRT STATION,DT34,0.7714304339101217,Tampines Mart,1,"Tampines Street 32, Singapore",0,1,0,0,1,1,1,1,1,1,0,0,0,0,0
71903,Home in Tampines,1 bedroom · 2 beds · Shared half-bath,Tampines,East Region,https://a0.muscache.com/pictures/568743/7bc623e9_original.jpg,1.34531,103.961,Private room,2430,3,37,0.4006935082675658,UPPER CHANGI MRT STATION,DT34,0.930587245927378,Eastpoint Mall,2,"3 Simei Street 6, Singapore",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
275343,Rental unit in Bukit Merah,1 bedroom · 1 bed · 2 shared baths,Bukit Merah,Central Region,https://a0.muscache.com/pictures/miso/Hosting-275343/original/0239b8f0-a116-4118-889c-41f23df6303d.jpeg,1.29015,103.80814,Private room,1650,3,33,0.5807586625873249,QUEENSTOWN MRT STATION,EW19,0.3735370614892534,Anchorpoint Shopping Centre,1,"370 Alexandra Rd, Singapore",1,0,0,0,1,1,1,0,1,1,0,0,0,1,0
275344,Rental unit in Bukit Merah,1 bedroom · 1 bed · 2.5 shared baths,Bukit Merah,Central Region,https://a0.muscache.com/pictures/miso/Hosting-275344/original/7a846651-c2a7-4d8d-ba17-551a0eabc1c5.jpeg,1.28836,103.81144,Private room,2070,2,33,0.6124903844260964,REDHILL MRT STATION,EW18,0.4827960795651805,Dawson Place,1,"57 Dawson Rd, Singapore 142057",1,0,0,0,1,1,1,0,1,1,1,0,0,1,0
289234,Home in Tampines,3 bedrooms · 5 beds · 3 baths,Tampines,East Region,https://a0.muscache.com/pictures/24395933/8e2f538f_original.jpg,1.3449,103.95979,Private room,6480,3,12,0.3982647821234826,UPPER CHANGI MRT STATION,DT34,0.7885731991251924,Eastpoint Mall,4,"3 Simei Street 6, Singapore",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0
294281,Rental unit in Newton,2 bedrooms · 1 bed · 1 shared bath,Newton,Central Region,https://a0.muscache.com/pictures/4607862/87f42d40_original.jpg,1.31142,103.83924,Private room,2550,3,37,0.1716740798931194,NEWTON MRT STATION,NS21,0.709626169332663,Balmoral Plaza,2,"271 Bukit Timah Rd, Singapore 259708",1,0,0,0,1,1,1,0,0,1,1,1,0,1,0
324945,Rental unit in Bukit Merah,1 bedroom · 1 bed · 2 shared baths,Bukit Merah,Central Region,https://a0.muscache.com/pictures/miso/Hosting-324945/original/a839a545-79a7-48a8-aa9c-519b36c14fdc.jpeg,1.28828,103.8102,Private room,1650,2,33,0.7492597745373368,REDHILL MRT STATION,EW18,0.4894854973551189,Dawson Place,1,"57 Dawson Rd, Singapore 142057",1,0,0,0,1,1,1,0,1,1,0,0,0,0,0
330095,Rental unit in Bukit Merah,1 bedroom · 1 bed · 2 shared baths,Bukit Merah,Central Region,https://a0.muscache.com/pictures/miso/Hosting-330095/original/0103187c-8676-4a49-b4bc-7dba0d44fb36.jpeg,1.28636,103.81138,Private room,1470,2,33,0.7015011099997156,REDHILL MRT STATION,EW18,0.5863319834883515,Depot Heights Shopping Centre,1,"108 Depot Rd, Singapore",1,0,0,0,1,1,1,0,1,1,0,0,0,1,0
369141,Place to stay in Newton,1 bedroom · 1 bed · 1 bath,Newton,Central Region,https://a0.muscache.com/pictures/21784952/12aacf76_original.jpg,1.31144,103.83784,Private room,2370,3,6,0.0991868270638515,NEWTON MRT STATION,NS21,0.625906733906167,Balmoral Plaza,2,"271 Bukit Timah Rd, Singapore 259708",1,0,0,0,1,1,1,0,1,1,1,1,0,1,0
369145,Townhouse in Newton,2 bedrooms · 1 bed · 1 shared bath,Newton,Central Region,https://a0.muscache.com/pictures/129807ba-7206-4a82-81fa-925c602d47f9.jpg,1.31129,103.83788,Private room,1980,3,37,0.1151386454212071,NEWTON MRT STATION,NS21,0.6428617469081898,Balmoral Plaza,2,"271 Bukit Timah Rd, Singapore 259708",1,0,0,0,1,1,1,0,1,1,1,1,0,1,0
395191,Rental unit in River Valley,1 bedroom · 1 bed · 0 baths,River Valley,Central Region,https://a0.muscache.com/pictures/4678049/70e55239_original.jpg,1.29335,103.83768,Private room,3000,3,12,0.745389973562849,FORT CANNING MRT STATION,DT20,0.5700501824088375,UE Square,1,"81 Clemenceau Ave, Singapore",1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
468782,Home in Serangoon,1 bedroom · 1.5 shared baths,Serangoon,North-East Region,https://a0.muscache.com/pictures/5965038/cd9d59b8_original.jpg,1.36288,103.86575,Private room,1410,3,6,1.2654589766548865,LORONG CHUAN MRT STATION,CC14,0.2508626519230354,myVillage,2,"1 Maju Ave, Singapore",1,0,0,0,1,1,0,0,0,0,0,0,0,0,0
481789,Rental unit in Tampines,1 bed · 1 bath,Tampines,East Region,https://a0.muscache.com/pictures/5710886/22c62c79_original.jpg,1.34816,103.93238,Private room,1110,6,24,0.7347411707942868,TAMPINES WEST MRT STATION,DT31,0.1492773312927214,Shop @ West,2,"Tampines Street 81, Singapore 520825",1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
606784,Condo in Tampines,1 bedroom · 1 bed · 2 baths,Tampines,East Region,https://a0.muscache.com/pictures/50824143/983709e0_original.jpg,1.34361,103.95717,Private room,2490,3,5,0.4246558657023322,SIMEI MRT STATION,EW3,0.4696207867050143,Eastpoint Mall,2,"3 Simei Street 6, Singapore",1,0,1,1,1,1,0,0,1,1,1,0,0,0,0
642660,Rental unit in Rochor,1 bed · 2 baths,Rochor,Central Region,https://a0.muscache.com/pictures/8290008/f3d60f76_original.jpg,1.30096,103.85206,Private room,4860,6,24,0.2983389089842195,BENCOOLEN MRT STATION,DT21,0.0540001820612409,Fortune Centre,2,"190 Middle Rd, Fortune Centre, Singapore 188979",1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
654191,Rental unit in Kallang,1 bedroom · 1 bed · 1 private bath,Kallang,Central Region,https://a0.muscache.com/pictures/5a9ac542-6884-4e82-b655-7e3f4e920c72.jpg,1.31221,103.85832,Private room,2040,3,12,0.4608505744063516,FARRER PARK MRT STATION,NE8,0.2124783033785557,Prime Nutrition Dr.Amit 📲82921225 Singapore,1,"City Square Mall 9th Floor #09-09, Office 16 Farrer Park MRT Exit i, 180 Kitchener Rd",1,0,0,1,1,1,1,0,1,1,1,1,0,1,0
696136,Home in Bukit Timah,1 bedroom · 1 bed · 1 bath,Bukit Timah,Central Region,https://a0.muscache.com/pictures/9475406/e1c47a6a_original.jpg,1.30938,103.79812,Private room,3000,3,37,0.347064138526484,HOLLAND VILLAGE MRT STATION,CC21,0.2521296850824238,Raffles Holland V Mall,2,"118 Holland Ave, Singapore 278973",1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
