Unnamed: 0,id,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,room_type,price,minimum_months,maximum_months,distance_to_mrt,closest_mrt_name,closest_mrt_stop_id,closest_mall_distance,closest_mall_name,closest_mall_address,conditioning,BBQ,gym,pool,dryer,Wifi,kitchen,Backyard,TV,refrigerator,Microwave,Oven,Pets,stove,fan,name,details,accommodates,picture_url,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,listing_url,total_bedrooms,total_beds,total_baths,bath_type
0,71609,Tampines,East Region,1.34537,103.95887,Private room,4170,3,37,0.4967921344269641,UPPER CHANGI MRT STATION,DT34,0.7120341590176739,Eastpoint Mall,"3 Simei Street 6, Singapore",1,1,0,0,1,1,1,1,1,1,0,0,0,0,0,Villa in Tampines,2 bedrooms · 3 beds · 1 private bath,3,https://a0.muscache.com/pictures/24453191/35803acb_original.jpg,4.44,4.37,4.0,4.63,4.78,4.26,4.32,https://www.airbnb.com/rooms/71609,2.0,3.0,1.0,Private
1,71896,Tampines,East Region,1.34754,103.95958,Private room,2100,3,37,0.6786192176941457,UPPER CHANGI MRT STATION,DT34,0.7714304339101217,Tampines Mart,"Tampines Street 32, Singapore",0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,Home in Tampines,1 bedroom · 1 bed · Shared half-bath,1,https://a0.muscache.com/pictures/2440674/ac4f4442_original.jpg,4.16,4.22,4.09,4.43,4.43,4.17,4.04,https://www.airbnb.com/rooms/71896,1.0,1.0,0.5,Private
2,71903,Tampines,East Region,1.34531,103.961,Private room,2430,3,37,0.4006935082675658,UPPER CHANGI MRT STATION,DT34,0.930587245927378,Eastpoint Mall,"3 Simei Street 6, Singapore",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,Home in Tampines,1 bedroom · 2 beds · Shared half-bath,2,https://a0.muscache.com/pictures/568743/7bc623e9_original.jpg,4.41,4.39,4.52,4.63,4.64,4.5,4.36,https://www.airbnb.com/rooms/71903,1.0,2.0,0.5,Private
3,275343,Bukit Merah,Central Region,1.29015,103.80814,Private room,1650,3,33,0.5807586625873249,QUEENSTOWN MRT STATION,EW19,0.3735370614892534,Anchorpoint Shopping Centre,"370 Alexandra Rd, Singapore",1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,Rental unit in Bukit Merah,1 bedroom · 1 bed · 2 shared baths,1,https://a0.muscache.com/pictures/miso/Hosting-275343/original/0239b8f0-a116-4118-889c-41f23df6303d.jpeg,4.4,4.16,4.26,4.47,4.42,4.53,4.63,https://www.airbnb.com/rooms/275343,1.0,1.0,2.0,Shared
4,275344,Bukit Merah,Central Region,1.28836,103.81144,Private room,2070,2,33,0.6124903844260964,REDHILL MRT STATION,EW18,0.4827960795651805,Dawson Place,"57 Dawson Rd, Singapore 142057",1,0,0,0,1,1,1,0,1,1,1,0,0,1,0,Rental unit in Bukit Merah,1 bedroom · 1 bed · 2.5 shared baths,1,https://a0.muscache.com/pictures/miso/Hosting-275344/original/7a846651-c2a7-4d8d-ba17-551a0eabc1c5.jpeg,4.54,4.64,4.21,4.64,4.57,4.64,4.43,https://www.airbnb.com/rooms/275344,1.0,1.0,2.5,Shared
5,289234,Tampines,East Region,1.3449,103.95979,Private room,6480,3,12,0.3982647821234826,UPPER CHANGI MRT STATION,DT34,0.7885731991251924,Eastpoint Mall,"3 Simei Street 6, Singapore",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,Home in Tampines,3 bedrooms · 5 beds · 3 baths,4,https://a0.muscache.com/pictures/24395933/8e2f538f_original.jpg,4.83,4.67,4.75,4.58,4.67,4.33,4.45,https://www.airbnb.com/rooms/289234,3.0,5.0,3.0,Shared
6,294281,Newton,Central Region,1.31142,103.83924,Private room,2550,3,37,0.1716740798931194,NEWTON MRT STATION,NS21,0.709626169332663,Balmoral Plaza,"271 Bukit Timah Rd, Singapore 259708",1,0,0,0,1,1,1,0,0,1,1,1,0,1,0,Rental unit in Newton,2 bedrooms · 1 bed · 1 shared bath,2,https://a0.muscache.com/pictures/4607862/87f42d40_original.jpg,4.43,4.33,4.16,4.5,4.66,4.52,4.39,https://www.airbnb.com/rooms/294281,2.0,1.0,1.0,Private
7,324945,Bukit Merah,Central Region,1.28828,103.8102,Private room,1650,2,33,0.7492597745373368,REDHILL MRT STATION,EW18,0.4894854973551189,Dawson Place,"57 Dawson Rd, Singapore 142057",1,0,0,0,1,1,1,0,1,1,0,0,0,0,0,Rental unit in Bukit Merah,1 bedroom · 1 bed · 2 shared baths,1,https://a0.muscache.com/pictures/miso/Hosting-324945/original/a839a545-79a7-48a8-aa9c-519b36c14fdc.jpeg,3.62,3.63,4.0,4.5,4.06,4.0,3.88,https://www.airbnb.com/rooms/324945,1.0,1.0,2.0,Shared
8,330095,Bukit Merah,Central Region,1.28636,103.81138,Private room,1470,2,33,0.7015011099997156,REDHILL MRT STATION,EW18,0.5863319834883515,Depot Heights Shopping Centre,"108 Depot Rd, Singapore",1,0,0,0,1,1,1,0,1,1,0,0,0,1,0,Rental unit in Bukit Merah,1 bedroom · 1 bed · 2 shared baths,1,https://a0.muscache.com/pictures/miso/Hosting-330095/original/0103187c-8676-4a49-b4bc-7dba0d44fb36.jpeg,4.5,4.5,4.25,4.75,4.75,4.25,4.5,https://www.airbnb.com/rooms/330095,1.0,1.0,2.0,Shared
9,369141,Newton,Central Region,1.31144,103.83784,Private room,2370,3,6,0.0991868270638515,NEWTON MRT STATION,NS21,0.625906733906167,Balmoral Plaza,"271 Bukit Timah Rd, Singapore 259708",1,0,0,0,1,1,1,0,1,1,1,1,0,1,0,Place to stay in Newton,1 bedroom · 1 bed · 1 bath,2,https://a0.muscache.com/pictures/21784952/12aacf76_original.jpg,4.43,4.45,4.41,4.71,4.76,4.64,4.55,https://www.airbnb.com/rooms/369141,1.0,1.0,1.0,Private
