,name,lat,lng,stop_id
0,EUNOS MRT STATION,1.319778952,103.9032525,EW7
1,CHINESE GARDEN MRT STATION,1.342352821,103.7325967,EW25
2,KHATIB MRT STATION,1.41738337,103.8329799,NS14
3,KRANJI MRT STATION,1.425177699,103.7621654,NS7
4,REDHILL MRT STATION,1.289562726,103.8168167,EW18
5,YEW TEE MRT STATION,1.397535018,103.7474051,NS5
6,PIONEER MRT STATION,1.337586882,103.6973215,EW28
7,COMMONWEALTH MRT STATION,1.302438735,103.7983045,EW20
8,PAYA LEBAR MRT STATION,1.318112082,103.8930604,EW8
9,SIMEI MRT STATION,1.343202895,103.9533717,EW3
10,TAMPINES MRT STATION,1.353301356,103.9451487,EW2
11,ADMIRALTY MRT STATION,1.440585001,103.800988,NS10
12,YISHUN MRT STATION,1.429443081,103.835005,NS13
13,PASIR RIS MRT STATION,1.372983774,103.9492681,EW1
14,CLEMENTI MRT STATION,1.314954492,103.7652989,EW23
15,ALJUNIED MRT STATION,1.316432612,103.882906,EW9
16,ANG MO KIO MRT STATION,1.369347304,103.849933,NS16
17,EXPO MRT STATION,1.334549778,103.9615482,CG1
18,CHOA CHU KANG MRT STATION,1.385361693,103.7443409,NS4
19,QUEENSTOWN MRT STATION,1.294860933,103.8058843,EW19
20,TUAS LINK MRT STATION,1.340463766,103.6368787,EW33
21,GUL CIRCLE MRT STATION,1.319505215,103.660553,EW30
22,WOODLANDS MRT STATION,1.436875128,103.7864851,NS9
23,TUAS CRESCENT MRT STATION,1.321026553,103.6490755,EW31
24,KALLANG MRT STATION,1.31148891,103.8713865,EW10
25,TUAS WEST ROAD MRT STATION,1.329989089,103.6396141,EW32
26,BUONA VISTA MRT STATION,1.307183467,103.7901915,EW21
27,DOVER MRT STATION,1.311405293,103.7786378,EW22
28,SEMBAWANG MRT STATION,1.449050821,103.8200461,NS11
29,KEMBANGAN MRT STATION,1.321038249,103.9129494,EW6
30,BUKIT BATOK MRT STATION,1.349034109,103.7495668,NS2
31,BOON LAY MRT STATION,1.338604055,103.7060646,EW27
32,BUKIT GOMBAK MRT STATION,1.358761857,103.7518935,NS3
33,MARSILING MRT STATION,1.432514421,103.7740715,NS8
34,BEDOK MRT STATION,1.323979969,103.9299845,EW5
35,JOO KOON MRT STATION,1.327717173,103.6783751,EW29
36,LAKESIDE MRT STATION,1.344259249,103.7209493,EW26
37,TANAH MERAH MRT STATION,1.327187135,103.9463465,EW4
38,YIO CHU KANG MRT STATION,1.381756046,103.8449473,NS15
39,OASIS LRT STATION,1.402286677,103.9127274,PE6
40,SAM KEE LRT STATION,1.409612685,103.9048316,PW1
41,FARMWAY LRT STATION,1.397170196,103.8893048,SW2
42,KUPANG LRT STATION,1.398212828,103.8812562,SW3
43,RENJONG LRT STATION,1.386723922,103.8905394,SW8
44,BUKIT PANJANG LRT STATION,1.377909898,103.7630136,BP6
45,FAJAR LRT STATION,1.384520796,103.7708086,BP10
46,SAMUDERA LRT STATION,1.415901719,103.9021563,PW4
47,NIBONG LRT STATION,1.411870458,103.9003138,PW5
48,SOO TECK LRT STATION,1.405088585,103.8972097,PW7
49,KADALOOR LRT STATION,1.399584853,103.9164867,PE5
50,CORAL EDGE LRT STATION,1.393909226,103.9125809,PE3
51,THANGGAM LRT STATION,1.397318155,103.8756352,SW4
52,KEAT HONG LRT STATION,1.378602766,103.7490555,BP3
53,DAMAI LRT STATION,1.405234836,103.9086035,PE7
54,COVE LRT STATION,1.399281985,103.9059619,PE1
55,RIVIERA LRT STATION,1.394524496,103.9161661,PE4
56,SENJA LRT STATION,1.382692296,103.7623672,BP13
57,JELAPANG LRT STATION,1.386703025,103.7645033,BP12
58,PETIR LRT STATION,1.377750334,103.766669,BP7
59,TECK WHYE LRT STATION,1.376684679,103.7537122,BP4
60,CHOA CHU KANG LRT STATION,1.38483636,103.7445537,BP1
61,SOUTH VIEW LRT STATION,1.380298287,103.7452918,BP2
62,LAYAR LRT STATION,1.392079839,103.8800296,SW6
63,KANGKAR LRT STATION,1.383978902,103.902174,SE4
64,MERIDIAN LRT STATION,1.396912053,103.9089502,PE2
65,CHENG LIM LRT STATION,1.396277631,103.8937972,SW1
66,PUNGGOL POINT LRT STATION,1.41684852,103.9066508,PW3
67,SUMANG LRT STATION,1.408452426,103.8985585,PW6
68,FERNVALE LRT STATION,1.391885888,103.8763086,SW5
69,TONGKANG LRT STATION,1.389347953,103.8858441,SW7
70,PENDING LRT STATION,1.376142883,103.7712702,BP8
71,TECK LEE LRT STATION,1.412770894,103.9065776,PW2
72,BANGKIT LRT STATION,1.380017897,103.7726491,BP9
73,BAKAU LRT STATION,1.388092704,103.9054391,SE3
74,RUMBIA LRT STATION,1.391468497,103.9059736,SE2
75,COMPASSVALE LRT STATION,1.394493046,103.9004925,SE1
76,TEN MILE JUNCTION LRT STATION,1.380321008,103.7601398,BP14
